"filename","anova_p","max_mean_freq","df_sig"
"13-18_Trial15_chpaddle01-02.csv","3e-04",8.4,"No"
"13-18_Trial15_chpaddle01-03.csv","<0.0001",8.4,"Yes"
"13-18_Trial15_chpaddle01-04.csv","<0.0001",8.4,"Yes"
"13-18_Trial15_chpaddle01.csv","<0.0001",8.4,"Yes"
"13-18_Trial15_chpaddle02-03.csv","<0.0001",8.7,"Yes"
"13-18_Trial15_chpaddle02-04.csv","<0.0001",8.1,"Yes"
"13-18_Trial15_chpaddle02.csv","<0.0001",8.4,"Yes"
"13-18_Trial15_chpaddle03-04.csv","<0.0001",8.4,"Yes"
"13-18_Trial15_chpaddle03.csv","<0.0001",8.4,"Yes"
"13-18_Trial15_chpaddle04.csv","<0.0001",8.4,"Yes"
"15-18_Trial20_chpaddle01-02.csv","<0.0001",9.3,"No"
"15-18_Trial20_chpaddle01-03.csv","0.0053",9.6,"No"
"15-18_Trial20_chpaddle01-04.csv","5e-04",12.9,"No"
"15-18_Trial20_chpaddle01.csv","2e-04",9.6,"No"
"15-18_Trial20_chpaddle02-03.csv","2e-04",8.7,"No"
"15-18_Trial20_chpaddle02-04.csv","<0.0001",12,"Yes"
"15-18_Trial20_chpaddle02.csv","<0.0001",9,"No"
"15-18_Trial20_chpaddle03-04.csv","0.0029",12,"No"
"15-18_Trial20_chpaddle03.csv","0.1316",11.4,"No"
"15-18_Trial20_chpaddle04.csv","<0.0001",12.3,"No"
"16-18_Trial07_chpaddle02-03.csv","<0.0001",9.3,"Yes"
"16-18_Trial07_chpaddle02-04.csv","<0.0001",9.3,"Yes"
"16-18_Trial07_chpaddle02-06.csv","<0.0001",9.3,"Yes"
"16-18_Trial07_chpaddle02.csv","<0.0001",9.3,"Yes"
"16-18_Trial07_chpaddle03-04.csv","2e-04",9.3,"Yes"
"16-18_Trial07_chpaddle03-06.csv","0.0155",9.3,"No"
"16-18_Trial07_chpaddle03.csv","0.0034",9.3,"No"
"16-18_Trial07_chpaddle04-06.csv","<0.0001",9.6,"No"
"16-18_Trial07_chpaddle04.csv","<0.0001",9,"No"
"16-18_Trial07_chpaddle06.csv","0.0365",9.3,"No"
